Date,Year,Daily.Count
28-Jun,2020,1165
29-Jun,2020,1937
30-Jun,2020,1505
1-Jul,2020,440
2-Jul,2020,786
3-Jul,2020,816
4-Jul,2020,712
5-Jul,2020,757
6-Jul,2020,1473
7-Jul,2020,572
8-Jul,2020,832
9-Jul,2020,342
10-Jul,2020,357
11-Jul,2020,567
12-Jul,2020,582
13-Jul,2020,202
14-Jul,2020,1961
15-Jul,2020,707
16-Jul,2020,761
17-Jul,2020,703
18-Jul,2020,85
19-Jul,2020,855
20-Jul,2020,681
21-Jul,2020,489
22-Jul,2020,124
23-Jul,2020,385
24-Jul,2020,303
25-Jul,2020,27
26-Jul,2020,252
27-Jul,2020,95
28-Jul,2020,152
29-Jul,2020,54
30-Jul,2020,58
31-Jul,2020,26
1-Aug,2020,7
2-Aug,2020,111
3-Aug,2020,22
4-Aug,2020,21
5-Aug,2020,10
6-Aug,2020,14
7-Aug,2020,21
8-Aug,2020,14
9-Aug,2020,0
10-Aug,2020,0
11-Aug,2020,7
12-Aug,2020,0
13-Aug,2020,0
14-Aug,2020,7
15-Aug,2020,0
16-Aug,2020,0
17-Aug,2020,0
18-Aug,2020,0
19-Aug,2020,0
20-Aug,2020,0
21-Aug,2020,0
22-Aug,2020,0
23-Aug,2020,0
24-Aug,2020,0
25-Aug,2020,0
26-Aug,2020,0
27-Aug,2020,0
28-Aug,2020,0
29-Aug,2020,0
30-Aug,2020,0
31-Aug,2020,0
1-Sep,2020,0
2-Sep,2020,0
3-Sep,2020,0
4-Sep,2020,0
5-Sep,2020,0
6-Sep,2020,0
7-Sep,2020,0
8-Sep,2020,0
9-Sep,2020,0
10-Sep,2020,0
11-Sep,2020,0
12-Sep,2020,0
13-Sep,2020,0
14-Sep,2020,0
15-Sep,2020,0
16-Sep,2020,0
17-Sep,2020,0
18-Sep,2020,0
19-Sep,2020,0
20-Sep,2020,0
21-Sep,2020,0
22-Sep,2020,0
23-Sep,2020,0
24-Sep,2020,0
25-Sep,2020,0
26-Sep,2020,0
27-Sep,2020,0
28-Sep,2020,0
29-Sep,2020,0
30-Sep,2020,0
1-Oct,2020,0
2-Oct,2020,0
12-Jun,2021,20
13-Jun,2021,15
14-Jun,2021,0
15-Jun,2021,22
16-Jun,2021,48
17-Jun,2021,0
18-Jun,2021,209
19-Jun,2021,77
20-Jun,2021,219
21-Jun,2021,218
22-Jun,2021,245
23-Jun,2021,128
24-Jun,2021,631
25-Jun,2021,1131
26-Jun,2021,151
27-Jun,2021,590
28-Jun,2021,400
29-Jun,2021,889
30-Jun,2021,920
1-Jul,2021,1345
2-Jul,2021,1850
3-Jul,2021,1422
4-Jul,2021,1012
5-Jul,2021,862
6-Jul,2021,594
7-Jul,2021,944
8-Jul,2021,928
9-Jul,2021,1053
10-Jul,2021,2284
11-Jul,2021,764
12-Jul,2021,1297
13-Jul,2021,919
14-Jul,2021,1285
15-Jul,2021,2812
16-Jul,2021,1447
17-Jul,2021,874
18-Jul,2021,621
19-Jul,2021,377
20-Jul,2021,749
